1380144875.83551,0,0,0,0,0,0,0,0,0,0
1380144876.33626,0,0,0,0,0,0,0,0,0,0
1380144876.83671,0,0,0,0,0,0,0,0,0,0
1380144877.33769,0,0,0,0,0,0,0,0,0,0
1380144877.83857,1650474,79999,12451,20085,33142,22028,18249,5010,0,0
1380144878.33952,1650474,79999,12451,20085,33142,22028,18249,5010,0,0
1380144878.84046,72409,23936,15319,5628,14652,22507,12075,8813,0,0
1380144879.34095,72409,23936,15319,5628,14652,22507,12075,8813,0,0
1380144879.84201,222731,83519,45856,9315,10313,15760,7651,12091,0,0
1380144880.34284,222731,83519,45856,9315,10313,15760,7651,12091,0,0
1380144880.84295,23884,24579,2277,17631,17769,13185,13048,5859,44,44
1380144881.34338,23884,24579,2277,17631,17769,13185,13048,5859,44,44
1380144881.84377,427034,105373,2003,15381,10805,25208,10011,5008,47,26
1380144882.34409,427034,105373,2003,15381,10805,25208,10011,5008,47,26
1380144882.84459,53181,22073,12935,21401,7109,14286,5842,6357,50,50
1380144883.34524,53181,22073,12935,21401,7109,14286,5842,6357,50,50
1380144883.84614,40378,6115,7026,11346,36453,18354,5407,5313,69,50
1380144884.34701,40378,6115,7026,11346,36453,18354,5407,5313,69,50
1380144884.84794,943001,15860,3890,8434,6909,9616,5136,1472,74,51
1380144885.34799,943001,15860,3890,8434,6909,9616,5136,1472,74,51
1380144885.84895,665194,292300,49542,15308,38648,14288,23578,35202,53,60
1380144886.34975,665194,292300,49542,15308,38648,14288,23578,35202,53,60
1380144886.85028,623438,36940,25270,24156,8179,4746,4186,5302,37,60
1380144887.35035,623438,36940,25270,24156,8179,4746,4186,5302,37,60
1380144887.85133,198784,22615,1266,25798,5273,3047,3042,2782,1,80
1380144888.35218,198784,22615,1266,25798,5273,3047,3042,2782,1,80
1380144888.8554,1891885,38747,11780,15757,2917,7144,8138,6713,1,87
1380144889.35588,1891885,38747,11780,15757,2917,7144,8138,6713,1,87
1380144889.85684,1716849,223234,42374,33597,82887,24189,36066,22724,1,88
1380144890.35759,1716849,223234,42374,33597,82887,24189,36066,22724,1,88
1380144890.85862,622727,32306,42332,18780,19981,20381,9185,3829,11,84
1380144891.35942,790811,168187,16096,17153,14011,17398,13958,5528,16,53
1380144891.86032,790811,168187,16096,17153,14011,17398,13958,5528,16,53
1380144892.36037,234491,44679,2719,20880,12728,10995,2557,1344,23,41
1380144892.86139,234491,44679,2719,20880,12728,10995,2557,1344,23,41
1380144893.3616,746850,145075,42597,70113,7601,29786,27038,39458,27,60
1380144893.86259,746850,145075,42597,70113,7601,29786,27038,39458,27,60
1380144894.3631,1651104,19813,2586,14056,11177,9095,12116,6567,30,48
1380144894.86413,1651104,19813,2586,14056,11177,9095,12116,6567,30,48
1380144895.36487,222076,130955,92295,15062,14688,8921,15063,6047,21,77
1380144895.86517,222076,130955,92295,15062,14688,8921,15063,6047,21,77
1380144896.36594,222076,130955,92295,15062,14688,8921,15063,6047,21,77
1380144896.86703,212495,87493,33266,40563,22884,16494,21287,23295,17,88
1380144897.36777,215211,29238,100668,7221,7851,7644,9259,15939,8,100
1380144897.86846,215211,29238,100668,7221,7851,7644,9259,15939,8,100
1380144898.36921,696566,94423,20899,38965,13963,15361,13408,8689,1,91
1380144898.87025,696566,94423,20899,38965,13963,15361,13408,8689,1,91
1380144899.37082,851577,64520,70510,12008,11648,11161,13309,7626,7,87
1380144899.87113,851577,64520,70510,12008,11648,11161,13309,7626,7,87
1380144900.37156,1209703,32609,30896,28632,6568,20096,8761,10964,13,84
1380144900.87264,1209703,32609,30896,28632,6568,20096,8761,10964,13,84
1380144901.37251,87490,111629,31489,6854,12159,25745,5496,6205,27,51
1380144901.87363,87490,111629,31489,6854,12159,25745,5496,6205,27,51
1380144902.37405,119074,71821,1710,4959,13198,13907,6319,8048,35,34
1380144902.87611,119074,71821,1710,4959,13198,13907,6319,8048,35,34
1380144903.3768,83683,55105,1351,8165,12572,25598,7649,15772,54,10
1380144903.87787,83683,55105,1351,8165,12572,25598,7649,15772,54,10
1380144904.37844,205237,208440,26097,22876,26999,21042,12791,2859,43,1
1380144904.87871,205237,208440,26097,22876,26999,21042,12791,2859,43,1
1380144905.37939,629618,232453,24389,26585,32855,17487,8816,9888,30,1
1380144905.88052,629618,232453,24389,26585,32855,17487,8816,9888,30,1
1380144906.38115,202067,74496,31370,24454,47124,27638,13698,8112,34,11
1380144906.88145,202067,74496,31370,24454,47124,27638,13698,8112,34,11
1380144907.38213,197438,36028,7972,2816,21006,18764,10688,7533,34,14
1380144907.88326,197438,36028,7972,2816,21006,18764,10688,7533,34,14
1380144908.38393,81392,27400,8982,14309,12700,10440,11060,6011,47,24
1380144908.88512,81392,27400,8982,14309,12700,10440,11060,6011,47,24
1380144909.38655,26601,47846,14873,14465,19735,10853,13673,7025,56,34
1380144909.8868,26601,47846,14873,14465,19735,10853,13673,7025,56,34
1380144910.38703,760764,20240,5517,1989,4686,5782,4331,2261,56,29
1380144910.88819,760764,20240,5517,1989,4686,5782,4331,2261,56,29
1380144911.38795,1535249,127521,105238,48672,29399,23299,39502,13923,35,51
1380144911.88906,1535249,127521,105238,48672,29399,23299,39502,13923,35,51
1380144912.38951,350006,184705,30674,37569,27174,32935,20842,3286,29,47
1380144912.89065,350006,184705,30674,37569,27174,32935,20842,3286,29,47
1380144913.39062,626982,23265,36352,25071,14366,23821,6374,8543,38,56
